districtid,bq,cpc,lpc,ndp,ppc,bqstd,cpcstd,lpcstd,ndpstd
10001,0.0,28.7,61.7,9.6,0.0,0.0,4.2,4.8,3.9
10002,0.0,20.0,69.9,10.1,0.0,0.0,3.2,4.6,4.1
10003,0.0,46.0,49.0,5.0,0.0,0.0,5.0,4.9,2.1
10004,0.0,33.0,53.9,13.2,0.0,0.0,4.6,5.2,5.1
10005,0.0,42.7,48.1,9.2,0.0,0.0,5.0,4.9,3.8
10006,0.0,19.1,60.6,20.3,0.0,0.0,3.3,6.5,7.3
10007,0.0,39.5,52.2,8.3,0.0,0.0,4.9,4.9,3.4
11001,0.0,31.8,64.0,4.2,0.0,0.0,4.3,4.5,1.8
11002,0.0,23.2,68.3,8.5,0.0,0.0,3.6,4.5,3.5
11003,0.0,36.8,58.2,5.0,0.0,0.0,4.6,4.7,2.1
11004,0.0,31.5,65.5,3.0,0.0,0.0,4.4,4.5,1.3
12001,0.0,40.3,52.0,7.7,0.0,0.0,4.9,4.9,3.2
12002,0.0,35.6,56.3,8.2,0.0,0.0,4.6,4.8,3.4
12003,0.0,35.7,57.4,6.8,0.0,0.0,4.6,4.8,2.8
12004,0.0,38.4,53.7,7.9,0.0,0.0,4.8,4.9,3.2
12005,0.0,17.6,69.1,13.3,0.0,0.0,3.0,5.2,5.2
12006,0.0,13.4,58.3,28.3,0.0,0.0,2.7,7.9,9.2
12007,0.0,21.3,67.9,10.8,0.0,0.0,3.4,4.7,4.3
12008,0.0,27.3,65.4,7.3,0.0,0.0,4.0,4.5,3.0
12009,0.0,26.1,66.0,7.9,0.0,0.0,3.9,4.5,3.3
12010,0.0,36.2,63.8,0.0,0.0,0.0,4.7,4.7,0.0
12011,0.0,31.8,60.3,7.8,0.0,0.0,4.4,4.8,3.2
13001,0.0,20.6,70.8,8.6,0.0,0.0,3.3,4.4,3.5
13002,0.0,27.9,67.1,5.0,0.0,0.0,4.0,4.3,2.1
13003,0.0,27.4,68.8,3.8,0.0,0.0,4.0,4.2,1.6
13004,0.0,46.7,46.4,6.9,0.0,0.0,5.0,4.8,2.9
13005,0.0,33.0,60.8,6.2,0.0,0.0,4.4,4.7,2.6
13006,0.0,41.3,53.4,5.3,0.0,0.0,4.8,4.8,2.3
13007,0.0,25.2,67.4,7.4,0.0,0.0,3.8,4.4,3.1
13008,0.0,30.9,63.6,5.5,0.0,0.0,4.3,4.5,2.4
13009,0.0,45.7,47.3,7.0,0.0,0.0,5.0,4.9,2.9
13010,0.0,52.8,42.8,4.5,0.0,0.0,5.0,4.8,1.9
